"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","brightness","correct_response","congruency","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","218690","0.0-6.0-0.6","fixation","","","",""
"1829","<p style='font-size:60pt; opacity:1; color:red;'>RED</p>","r","html-keyboard-response","66","220520","0.0-6.0-1.6","stroop","normal","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","221527","0.0-6.0-0.7","fixation","","","",""
"1440","<p style='font-size:60pt; opacity:1; color:yellow;'>RED</p>","y","html-keyboard-response","68","222968","0.0-6.0-1.7","stroop","normal","y","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","223978","0.0-6.0-0.8","fixation","","","",""
"1255","<p style='font-size:60pt; opacity:1; color:yellow;'>YELLOW</p>","y","html-keyboard-response","70","225233","0.0-6.0-1.8","stroop","normal","y","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","227266","0.0-6.0-0.9","fixation","","","",""
"1833","<p style='font-size:60pt; opacity:1; color:green;'>BLUE</p>","g","html-keyboard-response","72","229100","0.0-6.0-1.9","stroop","normal","g","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","230110","0.0-6.0-0.10","fixation","","","",""
"966","<p style='font-size:60pt; opacity:1; color:red;'>RED</p>","r","html-keyboard-response","74","231076","0.0-6.0-1.10","stroop","normal","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","233090","0.0-6.0-0.11","fixation","","","",""
"1124","<p style='font-size:60pt; opacity:1; color:yellow;'>BLUE</p>","y","html-keyboard-response","76","234215","0.0-6.0-1.11","stroop","normal","y","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","235226","0.0-6.0-0.12","fixation","","","",""
"1498","<p style='font-size:60pt; opacity:1; color:blue;'>RED</p>","b","html-keyboard-response","78","236726","0.0-6.0-1.12","stroop","normal","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","237734","0.0-6.0-0.13","fixation","","","",""
"1906","<p style='font-size:60pt; opacity:1; color:blue;'>GREEN</p>","b","html-keyboard-response","80","239640","0.0-6.0-1.13","stroop","normal","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","241649","0.0-6.0-0.14","fixation","","","",""
"1748","<p style='font-size:60pt; opacity:1; color:green;'>GREEN</p>","g","html-keyboard-response","82","243398","0.0-6.0-1.14","stroop","normal","g","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","244407","0.0-6.0-0.15","fixation","","","",""
"959","<p style='font-size:60pt; opacity:1; color:yellow;'>YELLOW</p>","y","html-keyboard-response","84","245367","0.0-6.0-1.15","stroop","normal","y","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","247376","0.0-6.0-0.16","fixation","","","",""
"1195","<p style='font-size:60pt; opacity:1; color:green;'>GREEN</p>","g","html-keyboard-response","86","248572","0.0-6.0-1.16","stroop","normal","g","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","249586","0.0-6.0-0.17","fixation","","","",""
"1221","<p style='font-size:60pt; opacity:1; color:green;'>RED</p>","g","html-keyboard-response","88","250807","0.0-6.0-1.17","stroop","normal","g","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","89","252817","0.0-6.0-0.18","fixation","","","",""
"1182","<p style='font-size:60pt; opacity:1; color:blue;'>BLUE</p>","b","html-keyboard-response","90","254000","0.0-6.0-1.18","stroop","normal","b","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","255009","0.0-6.0-0.19","fixation","","","",""
